SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2019,LandArea,StaffedBeds
10,0,0,0,United States,328239523,0,0
20,1,0,0,Northeast Region,55982803,0,0
20,2,0,0,Midwest Region,68329004,0,0
20,3,0,0,South Region,125580448,0,0
20,4,0,0,West Region,78347268,0,0
40,3,6,1,Alabama,4903185,50750,15335
40,4,9,2,Alaska,731545,570641,1235
40,4,8,4,Arizona,7278717,113642,13416
40,3,7,5,Arkansas,3017804,52075,7872
40,4,9,6,California,39512223,155973,74724
40,4,8,8,Colorado,5758736,103730,8181
40,1,1,9,Connecticut,3565287,4845,8798
40,3,5,10,Delaware,973764,1955,2072
40,3,5,11,District of Columbia,705749,0,2117
40,3,5,12,Florida,21477737,53997,56245
40,3,5,13,Georgia,10617423,57919,22521
40,4,9,15,Hawaii,1415872,6423,2583
40,4,8,16,Idaho,1787065,82751,2455
40,2,3,17,Illinois,12671821,55593,29137
40,2,3,18,Indiana,6732219,35870,16026
40,2,4,19,Iowa,3155070,55875,6426
40,2,4,20,Kansas,2913314,81823,6341
40,3,6,21,Kentucky,4467673,39732,13634
40,3,7,22,Louisiana,4648794,43566,15061
40,1,1,23,Maine,1344212,30865,2887
40,3,5,24,Maryland,6045680,9775,10802
40,1,1,25,Massachusetts,6892503,7838,15192
40,2,3,26,Michigan,9986857,56539,23681
40,2,4,27,Minnesota,5639632,79617,10504
40,3,6,28,Mississippi,2976149,46914,10049
40,2,4,29,Missouri,6137428,68898,16705
40,4,8,30,Montana,1068778,145556,2202
40,2,4,31,Nebraska,1934408,76878,4245
40,4,8,32,Nevada,3080156,109806,5726
40,1,1,33,New Hampshire,1359711,8969,2276
40,1,2,34,New Jersey,8882190,7419,20213
40,4,8,35,New Mexico,2096829,121365,3887
40,1,2,36,New York,19453561,47224,57299
40,3,5,37,North Carolina,10488084,48718,22353
40,2,4,38,North Dakota,762062,68994,2003
40,2,3,39,Ohio,11689100,40953,27088
40,3,7,40,Oklahoma,3956971,68679,10287
40,4,9,41,Oregon,4217737,96003,6139
40,1,2,42,Pennsylvania,12801989,44820,34791
40,1,1,44,Rhode Island,1059361,1034,2440
40,3,5,45,South Carolina,5148714,30111,11759
40,2,4,46,South Dakota,884659,75898,2741
40,3,6,47,Tennessee,6829174,41220,18446
40,3,7,48,Texas,28995881,261914,58370
40,4,8,49,Utah,3205958,82168,4640
40,1,1,50,Vermont,623989,9249,835
40,3,5,51,Virginia,8535519,39598,17759
40,4,9,53,Washington,7614893,66582,10322
40,3,5,54,West Virginia,1792147,24087,5396
40,2,3,55,Wisconsin,5822434,54314,11080
40,4,8,56,Wyoming,578759,97105,1261
40,X,X,72,Puerto Rico,3193694,0,0
